org_id,total_ip_count,on_prem_ipv4_count,cloud_ipv4_count,amazon_ipv4_count,azure_ipv4_count,o365_ipv4_count,gcp_ipv4_count,private_ipv4_count,on_prem_ipv6_count,cloud_ipv6_count,amazon_ipv6_count,azure_ipv6_count,o365_ipv6_count,gcp_ipv6_count,private_ipv6_count,invalid_ip_count
f649c7fc-f8d1-49f2-810c-67a937af21b2,478,1,411,371,5,35,0,0,0,66,0,0,66,0,0,0
94913baf-b7df-4e75-a05f-b8c4c2bbba36,1702,771,371,344,16,8,3,27,13,524,511,0,13,0,0,0
7ce676c4-8995-4d80-9328-016f58cd4276,524,34,199,173,2,14,10,0,2,289,277,0,12,0,0,0
1cc2faac-6273-4889-8089-130f6f69c2d0,2015,421,1217,1153,26,38,0,7,21,359,317,0,42,0,0,0
0ce4b988-dfe3-43da-b4d9-1f905f285e7c,151,18,54,2,0,49,3,0,17,62,0,0,62,0,0,0
87412436-af0a-440d-96b7-59470bfc970f,69,26,19,5,3,11,0,0,6,18,0,0,18,0,0,0
ece5d3dd-e9fc-43cc-84a4-88d3119bc4b4,613,314,138,110,2,23,3,2,12,147,114,0,33,0,0,0
e6b77942-b444-42c8-a836-41c83b25cee5,158,72,41,31,0,0,10,0,45,0,0,0,0,0,0,0
096304d5-495d-4f1d-86cd-51113363f237,486,161,121,63,33,21,4,135,12,58,15,0,43,0,0,0
c2450ce1-2c22-4989-9b4d-29cdebd894f2,1271,477,336,305,14,17,0,20,77,366,336,0,30,0,0,0
bd9efdc8-8fc5-44f1-81f2-6015be5e8747,106,73,21,5,0,16,0,0,0,12,0,0,12,0,0,0
cb6c1c63-1f16-4adf-bf43-0799bb51237b,502,476,11,6,0,5,0,5,0,10,0,0,10,0,0,0
632dc8ed-7c04-41f0-8220-6096679eaf9e,456,56,133,133,0,0,0,0,5,262,262,0,0,0,0,0
9959d8f5-728b-4b71-a466-9c4b7c47f5d1,609,381,133,11,0,0,122,0,95,0,0,0,0,0,0,0
29e6508d-53a6-423d-b602-40d7547e1266,144,38,50,7,5,37,1,0,2,54,0,0,54,0,0,0
d6871ac3-4673-4f75-9b66-ab709c8318c7,3,0,2,2,0,0,0,0,0,1,1,0,0,0,0,0
0bfa6676-9442-4586-b40b-34cbb2802cf8,351,54,217,205,1,11,0,0,0,80,70,0,10,0,0,0
d552f86a-51eb-4636-9d71-5edbad2dda44,780,300,280,204,2,72,2,7,2,191,105,0,86,0,0,0
99425af2-624b-4bff-9799-e9bb7aafa9c1,187,16,135,99,0,36,0,0,1,35,0,0,35,0,0,0
baf627a1-d8df-4aea-a659-eb29adbafbe9,428,47,228,228,0,0,0,1,31,121,121,0,0,0,0,0
e16c8b91-0fad-4a0b-86a4-d8021729a877,107,29,46,18,0,28,0,0,3,29,0,0,29,0,0,0
9e080409-c56e-4c50-982a-a296cf3e8d49,72,30,12,0,0,12,0,0,16,14,0,0,14,0,0,0
92ce0a61-4307-4b03-9ed5-8e66fcf054f3,175,35,92,77,3,11,1,0,33,15,3,0,12,0,0,0
f6157787-4040-46a5-8562-d29169a6895e,80,68,13,9,4,0,0,0,0,0,0,0,0,0,0,0
17d45428-782c-4091-9327-dcaf63d722ef,112,33,44,8,5,30,1,0,5,31,0,0,31,0,0,0
48b88bdc-72e9-47bf-9747-ba626424bbc6,873,18,472,471,1,0,0,0,13,370,370,0,0,0,0,0
bf3efb91-65a2-44b7-a7b6-112a905fb598,1183,60,1023,998,0,15,10,54,1,45,32,0,13,0,0,0
0f538c6b-e883-4845-ad36-4001c494b448,220,107,66,46,1,16,3,0,0,47,40,0,7,0,0,0
5c47de6d-bfe6-47c1-aa71-b50446a0e913,129,43,42,3,5,33,1,0,0,44,0,0,44,0,0,0
6b9d7087-a497-4a71-9329-dd32b0f93eec,605,491,75,67,6,0,2,6,0,35,35,0,0,0,0,0
d2d27d00-90fb-43e3-8f6b-d6d0d46a23d5,133,77,54,54,0,0,0,0,2,0,0,0,0,0,0,0
