service_id,service_name,service_version,target_temptation,org_count,instance_count,applicability,criticality,enumerability,post_exploit,private_weakness,public_weakness,research
7dec2bc5-c1f7-4531-910b-eda3990ffe12,nginx,,22,72,1579,5,3,4,3,0,1,3
0fcf8d20-863f-48d6-a2c6-e5aa480020c7,Microsoft-HTTPAPI,2,21,80,1294,5,2,3,3,1,2,3
c96203dc-d8e9-4870-b73c-c8a1df1ce5fb,OpenSSH,6.7p1 Debian-5+deb8u8,20,5,7,1,3,4,3,0,1,3
2c17ddf6-16c9-4e00-98b1-4a8e35ba9d62,Microsoft-IIS,10,19,85,1344,5,2,3,2,1,2,3
56ab2769-7d57-43b4-9d94-7d018800fed6,ASP.NET,,16,89,2161,3,2,1,3,0,2,3
0bdd8e23-ecc1-4004-884a-1996a814ac75,ASP.NET,4.0.30319,15,70,670,5,2,2,3,0,1,3
804efbb9-5a1d-4534-8f6c-e7e1605657c3,Microsoft-IIS,8.5,12,71,918,4,2,2,3,0,1,2
2cd21611-3dfa-4d03-968b-61f651771dbd,CloudFront,,10,53,9145,5,2,1,2,0,1,2
7e80a22e-bec3-4180-9fc1-4953a4819c02,WordPress,5.2.7,10,7,11,3,0,3,3,0,0,3
6209252f-0749-4973-a918-d00d26b0a259,Amazon Web Services - Elastic Load Balancer,2,8,44,749,4,2,2,2,0,0,1
081663dc-2497-4f66-864b-b9fe9ce7dcc7,AmazonS3,,0,43,404,0,0,0,0,0,0,0
37e561ef-3552-4cd8-86d4-c75b6f0b0f54,RTC,7.0,0,35,163,0,0,0,0,0,0,0
9c4b9ef8-ff2c-4838-b8be-2db5a34329e2,Netscaler Gateway,,73,26,59,3,3,3,4,5,5,3
a585af1a-768c-418f-b613-69bf6ca8a85e,Cisco ASA,,37,37,84,3,5,1,4,0,2,4
e387a5b6-a56f-4e12-85b4-418cd1283b6c,Apache,2.4.18,33,10,35,5,3,4,3,0,3,3
48f8bc64-4b53-4b39-bf5a-948a274c2880,OpenSSH,7.2p2,33,5,6,4,3,3,3,0,3,4
52fe40f4-73c6-45f3-9c03-d222bc70a78b,Apache,2.4.38,33,5,10,5,3,4,3,0,3,3
563f0186-fbfe-4f90-b5c8-e08eca430f3e,Apache,2.4.25,33,13,37,5,3,4,3,0,3,3
9be16d5a-451c-4f14-b327-70fe3a5f4410,Apache,2.4.10,33,5,9,5,3,4,3,0,3,3
9135227d-1465-42a5-ba5a-c07391c0f7c0,Apache,2.2.31,33,4,4,5,3,4,3,0,3,3
d3077784-401f-4dd7-83fd-c642534c5455,Apache,2.2.26,32,1,2,3,3,4,3,0,3,3
fe58a0d4-d2d7-44af-845e-d4fec0be51d9,PHP,5.2.17,30,3,5,2,2,4,3,0,3,4
4888f8e6-be20-4f82-962b-9aa5c8203e5a,PHP,5.3.10-1ubuntu3.24,30,1,3,2,2,4,3,0,3,4
5570f868-d8e9-4310-8766-46955fb8d23c,PHP,5.3.28,30,4,6,2,2,4,3,0,3,4
4bd9a062-4bb0-4f51-a980-1afc10d7dd7b,PHP,7.0.27,30,2,7,2,2,4,3,0,3,4
e028c4ed-eb96-47eb-9801-1f636f058c01,Microsoft-IIS,8,28,24,138,5,2,3,3,1,3,3
6314ddb0-b7d7-4a78-8193-2c93715fe26c,Apache,2.4.39,27,9,27,5,3,4,3,0,2,3
1f2f306e-e49b-44b8-a0fd-7181fc3426aa,Apache,2.4.6,27,32,122,5,3,4,3,0,2,3
885fb488-fbd1-4ac2-9772-6edd95f5242a,Apache,6.6.6,27,1,4,2,3,4,3,0,2,3
31eb96d9-0c6d-4f7c-b0c3-8f0d87c4178b,nginx,1.16.1,26,27,169,4,3,4,3,0,2,3
17629589-88c7-498b-811b-4a86dcb835d8,Drupal,8,25,30,73,4,2,2,3,0,3,3
48939a7a-2024-4132-8bf4-d57ec2516e92,PHP,7.2.15,24,1,1,3,2,4,3,0,2,4
d53d8a33-c643-48a5-8d95-f8ece88f1f3e,PHP,7.1.17,23,1,1,2,2,4,3,0,2,4
c2b2eb3b-f415-4b83-bee6-e6db027fa11f,Microsoft-IIS,7.5,22,49,267,3,2,2,3,0,3,2
48698198-447a-4c41-ad92-470f02c676b3,nginx,1.10.3,22,6,14,5,3,4,3,0,1,3
5f1a2a51-ca34-44de-bcd3-932193dfcd7d,Cisco Expressway,,22,27,44,1,3,1,1,0,3,2
a0d3106f-03d6-4653-9038-fe6ff65a6665,OpenSSH,7.6p1 Ubuntu-4ubuntu0.3,22,22,59,4,3,4,4,0,1,2
07065677-76e0-4cc8-ab1c-d191073e2e7c,nginx,1.15.9,22,2,2,5,3,4,3,0,1,3
168f2702-7fb8-4d8e-bd68-4dbe2d9eabf1,PHP,5.4.16,21,13,33,2,2,3,3,0,2,4
3a3efc25-71ac-4651-a471-132a4d9720aa,Apache,2.4.41,21,15,52,5,3,4,3,0,0,3
11b41cb8-aced-4c17-9099-3e4b728cdcd8,OpenSSL,1.1.1c,21,7,12,3,3,3,3,0,2,2
ce7b04b1-1596-4019-9e5f-d16bddaf5f1a,Apache,Unknown,21,82,1710,5,3,1,3,0,2,3
1f30e955-2750-4c10-b64f-eec2eec9ba6e,OpenSSL,1.0.2k-fips,21,27,117,3,3,3,3,0,2,2
e567d39c-a405-4db9-9fa9-d1a0e4a48869,PHP,7.2.16,20,2,3,3,2,4,3,0,1,4
ab9f908a-d4b7-43ba-bd08-fc6bb26979b3,OpenSSH,7.4p1 Debian-10+deb9u7,20,4,23,1,3,4,3,0,1,3
b8ddfdc4-8071-4a9a-bc16-07e769ea90f7,OpenSSH,7.4,19,22,71,4,3,4,3,0,1,1
ad94d700-cede-4bb7-aee6-5c8d2677f155,cPanel,,18,6,18,5,2,1,3,0,2,3
152995e4-c564-4ea7-b440-ee189ebc4f91,PHP,7.3.9,18,2,4,3,2,4,3,0,0,4
dde0d8e4-1893-4362-86aa-7aa2696a2003,F5 BigIP,,17,48,1307,4,3,1,2,0,1,4
47c0607a-dcba-4a87-8669-e305573d7e27,PHP,5.6.40,17,12,34,2,2,3,3,0,1,4
3db9072b-e97d-4b19-88c6-af9b7126eb94,cpsrvd,,17,2,2,4,2,1,3,0,2,3
31c07a51-d5e8-4a26-a5c6-84d54aaee385,OpenSSH,4.3,17,3,293,4,3,3,3,0,1,1
10d05c98-7380-4ede-b15d-0488f2e98e85,Express,,17,40,207,4,2,1,3,0,2,3
e356c2ac-f28a-4649-8133-1f6dc9a689f0,cloudflare,,13,61,4548,5,3,1,2,0,0,2
bf3d2b39-8913-47a1-b6e6-5f54ebec7412,mod_jk,1.2.42,13,2,3,2,2,3,3,0,1,2
