org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
f649c7fc-f8d1-49f2-810c-67a937af21b2,90,60,30,0,0,12,287,0
94913baf-b7df-4e75-a05f-b8c4c2bbba36,1178,568,582,18,10,66,1702,15
7ce676c4-8995-4d80-9328-016f58cd4276,189,152,34,3,0,24,292,0
1cc2faac-6273-4889-8089-130f6f69c2d0,946,726,202,14,4,46,2015,55
0ce4b988-dfe3-43da-b4d9-1f905f285e7c,57,27,30,0,0,13,62,0
87412436-af0a-440d-96b7-59470bfc970f,28,22,4,2,0,8,43,2
ece5d3dd-e9fc-43cc-84a4-88d3119bc4b4,358,131,215,11,1,61,493,2
e6b77942-b444-42c8-a836-41c83b25cee5,38,17,21,0,0,12,90,1
096304d5-495d-4f1d-86cd-51113363f237,145,58,79,7,1,27,426,3
c2450ce1-2c22-4989-9b4d-29cdebd894f2,492,376,104,12,0,33,848,37
bd9efdc8-8fc5-44f1-81f2-6015be5e8747,65,15,46,2,2,16,87,40
cb6c1c63-1f16-4adf-bf43-0799bb51237b,328,23,286,5,14,31,485,5
632dc8ed-7c04-41f0-8220-6096679eaf9e,165,130,34,1,0,11,242,1
9959d8f5-728b-4b71-a466-9c4b7c47f5d1,327,155,166,6,0,38,538,1
29e6508d-53a6-423d-b602-40d7547e1266,58,24,33,1,0,16,93,0
d6871ac3-4673-4f75-9b66-ab709c8318c7,3,0,3,0,0,2,3,0
0bfa6676-9442-4586-b40b-34cbb2802cf8,109,71,38,0,0,22,205,4
d552f86a-51eb-4636-9d71-5edbad2dda44,331,137,188,4,2,41,567,5
99425af2-624b-4bff-9799-e9bb7aafa9c1,34,8,26,0,0,8,99,1
baf627a1-d8df-4aea-a659-eb29adbafbe9,220,196,24,0,0,15,272,1
e16c8b91-0fad-4a0b-86a4-d8021729a877,40,16,24,0,0,16,61,5
9e080409-c56e-4c50-982a-a296cf3e8d49,46,20,26,0,0,9,40,0
92ce0a61-4307-4b03-9ed5-8e66fcf054f3,66,49,17,0,0,11,138,0
f6157787-4040-46a5-8562-d29169a6895e,74,30,42,1,1,20,79,1
17d45428-782c-4091-9327-dcaf63d722ef,79,37,38,2,2,20,76,1
