org_id,total_ip_count,on_prem_ipv4_count,cloud_ipv4_count,amazon_ipv4_count,azure_ipv4_count,o365_ipv4_count,gcp_ipv4_count,private_ipv4_count,on_prem_ipv6_count,cloud_ipv6_count,amazon_ipv6_count,azure_ipv6_count,o365_ipv6_count,gcp_ipv6_count,private_ipv6_count,invalid_ip_count
94913baf-b7df-4e75-a05f-b8c4c2bbba36,1702,771,371,344,16,8,3,27,13,524,511,0,13,0,0,0
0ce4b988-dfe3-43da-b4d9-1f905f285e7c,138,18,49,2,0,44,3,0,17,54,0,0,54,0,0,0
87412436-af0a-440d-96b7-59470bfc970f,69,26,19,5,3,11,0,0,6,18,0,0,18,0,0,0
ece5d3dd-e9fc-43cc-84a4-88d3119bc4b4,613,314,138,110,2,23,3,2,12,147,114,0,33,0,0,0
c2450ce1-2c22-4989-9b4d-29cdebd894f2,1271,477,336,305,14,17,0,20,77,366,336,0,30,0,0,0
bd9efdc8-8fc5-44f1-81f2-6015be5e8747,106,73,21,5,0,16,0,0,0,12,0,0,12,0,0,0
cb6c1c63-1f16-4adf-bf43-0799bb51237b,502,476,11,6,0,5,0,5,0,10,0,0,10,0,0,0
9959d8f5-728b-4b71-a466-9c4b7c47f5d1,609,381,133,11,0,0,122,0,95,0,0,0,0,0,0,0
d552f86a-51eb-4636-9d71-5edbad2dda44,782,300,276,200,2,72,2,7,2,197,111,0,86,0,0,0
b63f403e-74f5-4508-a5c0-d5f638249d5e,298,34,114,93,4,17,0,0,11,140,115,0,25,0,0,0
afda35ec-7167-4e45-a45e-fccab6807d3d,318,6,281,278,0,0,3,0,3,28,28,0,0,0,0,0
5931f8f8-afde-465b-918c-1b69e737d685,132,121,8,7,1,0,0,1,2,0,0,0,0,0,0,0
7ec291c2-de2b-48f4-8552-5c285dd0debc,20,7,5,2,0,3,0,0,0,8,0,0,8,0,0,0
39be705b-5234-4519-91e6-e83ec986e4ce,569,438,43,34,6,0,3,46,0,44,44,0,0,0,0,0
a957c407-9d60-4d25-8be9-136f42966402,25,19,1,1,0,0,0,0,5,0,0,0,0,0,0,0
89623ad5-6051-444f-aff4-529f7e7e2e70,3851,1767,182,21,15,146,0,0,1782,125,0,0,125,0,0,0
13b3ce91-e4ba-476b-90f5-74d70d270394,226,90,100,60,1,38,1,5,0,31,0,0,31,0,0,0
a26cb204-8059-46bf-91b7-377c0854ab8f,30,27,3,3,0,0,0,0,0,0,0,0,0,0,0,0
f5f8d2be-6622-4aba-a3ec-20dd1ef77209,64,52,12,10,2,0,0,0,0,0,0,0,0,0,0,0
4c1909b4-54c5-4802-a30b-39736408a7bd,277,240,32,29,3,0,0,0,6,0,0,0,0,0,0,0
