service_id,service_name,service_version,target_temptation,org_count,instance_count,applicability,criticality,enumerability,post_exploit,private_weakness,public_weakness,research
9c4b9ef8-ff2c-4838-b8be-2db5a34329e2,Netscaler Gateway,,73,10,37,3,3,3,4,5,5,3
a585af1a-768c-418f-b613-69bf6ca8a85e,Cisco ASA,,37,12,20,3,5,1,4,0,2,4
e387a5b6-a56f-4e12-85b4-418cd1283b6c,Apache,2.4.18,33,2,3,5,3,4,3,0,3,3
48f8bc64-4b53-4b39-bf5a-948a274c2880,OpenSSH,7.2p2,33,4,8,4,3,3,3,0,3,4
52fe40f4-73c6-45f3-9c03-d222bc70a78b,Apache,2.4.38,33,3,7,5,3,4,3,0,3,3
563f0186-fbfe-4f90-b5c8-e08eca430f3e,Apache,2.4.25,33,5,10,5,3,4,3,0,3,3
9be16d5a-451c-4f14-b327-70fe3a5f4410,Apache,2.4.10,33,2,3,5,3,4,3,0,3,3
9135227d-1465-42a5-ba5a-c07391c0f7c0,Apache,2.2.31,33,1,1,5,3,4,3,0,3,3
d3077784-401f-4dd7-83fd-c642534c5455,Apache,2.2.26,32,1,2,3,3,4,3,0,3,3
fe58a0d4-d2d7-44af-845e-d4fec0be51d9,PHP,5.2.17,30,1,1,2,2,4,3,0,3,4
4888f8e6-be20-4f82-962b-9aa5c8203e5a,PHP,5.3.10-1ubuntu3.24,30,1,3,2,2,4,3,0,3,4
5570f868-d8e9-4310-8766-46955fb8d23c,PHP,5.3.28,30,2,3,2,2,4,3,0,3,4
4bd9a062-4bb0-4f51-a980-1afc10d7dd7b,PHP,7.0.27,30,1,2,2,2,4,3,0,3,4
e028c4ed-eb96-47eb-9801-1f636f058c01,Microsoft-IIS,8,28,4,23,5,2,3,3,1,3,3
6314ddb0-b7d7-4a78-8193-2c93715fe26c,Apache,2.4.39,27,5,7,5,3,4,3,0,2,3
1f2f306e-e49b-44b8-a0fd-7181fc3426aa,Apache,2.4.6,27,7,31,5,3,4,3,0,2,3
885fb488-fbd1-4ac2-9772-6edd95f5242a,Apache,6.6.6,27,1,4,2,3,4,3,0,2,3
31eb96d9-0c6d-4f7c-b0c3-8f0d87c4178b,nginx,1.16.1,26,7,29,4,3,4,3,0,2,3
17629589-88c7-498b-811b-4a86dcb835d8,Drupal,8,25,9,38,4,2,2,3,0,3,3
48939a7a-2024-4132-8bf4-d57ec2516e92,PHP,7.2.15,24,1,1,3,2,4,3,0,2,4
d53d8a33-c643-48a5-8d95-f8ece88f1f3e,PHP,7.1.17,23,1,1,2,2,4,3,0,2,4
c2b2eb3b-f415-4b83-bee6-e6db027fa11f,Microsoft-IIS,7.5,22,11,69,3,2,2,3,0,3,2
48698198-447a-4c41-ad92-470f02c676b3,nginx,1.10.3,22,2,2,5,3,4,3,0,1,3
5f1a2a51-ca34-44de-bcd3-932193dfcd7d,Cisco Expressway,,22,8,14,1,3,1,1,0,3,2
7dec2bc5-c1f7-4531-910b-eda3990ffe12,nginx,,22,16,226,5,3,4,3,0,1,3
a0d3106f-03d6-4653-9038-fe6ff65a6665,OpenSSH,7.6p1 Ubuntu-4ubuntu0.3,22,5,10,4,3,4,4,0,1,2
07065677-76e0-4cc8-ab1c-d191073e2e7c,nginx,1.15.9,22,1,1,5,3,4,3,0,1,3
168f2702-7fb8-4d8e-bd68-4dbe2d9eabf1,PHP,5.4.16,21,4,8,2,2,3,3,0,2,4
3a3efc25-71ac-4651-a471-132a4d9720aa,Apache,2.4.41,21,3,10,5,3,4,3,0,0,3
11b41cb8-aced-4c17-9099-3e4b728cdcd8,OpenSSL,1.1.1c,21,4,8,3,3,3,3,0,2,2
ce7b04b1-1596-4019-9e5f-d16bddaf5f1a,Apache,Unknown,21,16,365,5,3,1,3,0,2,3
0fcf8d20-863f-48d6-a2c6-e5aa480020c7,Microsoft-HTTPAPI,2,21,17,324,5,2,3,3,1,2,3
1f30e955-2750-4c10-b64f-eec2eec9ba6e,OpenSSL,1.0.2k-fips,21,9,34,3,3,3,3,0,2,2
c96203dc-d8e9-4870-b73c-c8a1df1ce5fb,OpenSSH,6.7p1 Debian-5+deb8u8,20,1,2,1,3,4,3,0,1,3
e567d39c-a405-4db9-9fa9-d1a0e4a48869,PHP,7.2.16,20,1,1,3,2,4,3,0,1,4
ab9f908a-d4b7-43ba-bd08-fc6bb26979b3,OpenSSH,7.4p1 Debian-10+deb9u7,20,3,4,1,3,4,3,0,1,3
