org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
94913baf-b7df-4e75-a05f-b8c4c2bbba36,1178,568,582,18,10,66,1702,15
0ce4b988-dfe3-43da-b4d9-1f905f285e7c,132,58,74,0,0,13,161,0
87412436-af0a-440d-96b7-59470bfc970f,46,39,5,2,0,9,73,0
ece5d3dd-e9fc-43cc-84a4-88d3119bc4b4,469,239,218,11,1,60,663,2
c2450ce1-2c22-4989-9b4d-29cdebd894f2,886,742,132,12,0,37,1389,39
bd9efdc8-8fc5-44f1-81f2-6015be5e8747,75,16,54,3,2,18,109,40
cb6c1c63-1f16-4adf-bf43-0799bb51237b,339,32,288,5,14,31,503,5
9959d8f5-728b-4b71-a466-9c4b7c47f5d1,365,187,172,6,0,39,639,1
d552f86a-51eb-4636-9d71-5edbad2dda44,477,236,235,4,2,44,849,5
b63f403e-74f5-4508-a5c0-d5f638249d5e,250,203,47,0,0,19,369,8
afda35ec-7167-4e45-a45e-fccab6807d3d,151,130,21,0,0,13,358,0
5931f8f8-afde-465b-918c-1b69e737d685,92,35,54,3,0,18,133,4
7ec291c2-de2b-48f4-8552-5c285dd0debc,26,1,22,2,1,10,25,1
39be705b-5234-4519-91e6-e83ec986e4ce,523,129,369,24,1,76,593,3
a957c407-9d60-4d25-8be9-136f42966402,41,27,10,3,1,14,25,12
89623ad5-6051-444f-aff4-529f7e7e2e70,5748,5450,294,3,1,28,3851,5
13b3ce91-e4ba-476b-90f5-74d70d270394,81,24,56,1,0,15,249,2
a26cb204-8059-46bf-91b7-377c0854ab8f,48,8,33,4,3,13,30,1
f5f8d2be-6622-4aba-a3ec-20dd1ef77209,31,7,23,1,0,12,66,2
4c1909b4-54c5-4802-a30b-39736408a7bd,170,44,117,6,3,37,278,1
