org_id,all_targets,low_targets,medium_targets,high_targets,critical_targets,service_count,ip_count,network_count
94913baf-b7df-4e75-a05f-b8c4c2bbba36,1178,568,582,18,10,66,1702,15
0ce4b988-dfe3-43da-b4d9-1f905f285e7c,58,33,25,0,0,13,59,0
87412436-af0a-440d-96b7-59470bfc970f,26,20,4,2,0,8,42,2
ece5d3dd-e9fc-43cc-84a4-88d3119bc4b4,362,134,216,11,1,61,493,2
c2450ce1-2c22-4989-9b4d-29cdebd894f2,425,338,78,9,0,30,504,30
bd9efdc8-8fc5-44f1-81f2-6015be5e8747,65,17,44,2,2,16,86,40
cb6c1c63-1f16-4adf-bf43-0799bb51237b,331,24,287,5,15,30,486,5
9959d8f5-728b-4b71-a466-9c4b7c47f5d1,325,156,163,6,0,38,547,1
d552f86a-51eb-4636-9d71-5edbad2dda44,310,121,183,4,2,40,518,5
b63f403e-74f5-4508-a5c0-d5f638249d5e,117,94,23,0,0,19,136,8
afda35ec-7167-4e45-a45e-fccab6807d3d,93,78,15,0,0,12,203,0
5931f8f8-afde-465b-918c-1b69e737d685,90,34,56,0,0,18,131,4
7ec291c2-de2b-48f4-8552-5c285dd0debc,12,1,8,2,1,10,13,1
39be705b-5234-4519-91e6-e83ec986e4ce,464,76,364,23,1,70,516,3
a957c407-9d60-4d25-8be9-136f42966402,41,27,10,3,1,14,25,12
89623ad5-6051-444f-aff4-529f7e7e2e70,1672,1408,261,2,1,22,1146,5
13b3ce91-e4ba-476b-90f5-74d70d270394,65,19,45,1,0,13,154,2
a26cb204-8059-46bf-91b7-377c0854ab8f,43,7,30,3,3,12,31,1
f5f8d2be-6622-4aba-a3ec-20dd1ef77209,38,7,30,1,0,12,64,2
4c1909b4-54c5-4802-a30b-39736408a7bd,160,35,116,6,3,37,272,1
